CustomerCode,CustomerName,CustomerSegment,IndustryVertical,SizeTier,ParentCustomerCode,ParentCustomerName,HqCountryCode,HqCountryName,HqRegion,SalesRegion,AccountManager,AccountManagerEmail,CreditTier,PaymentTermsDays,ContractType,OnboardedDate,ScdValidFrom,ScdValidTo,IsCurrent,ScdVersion,CustomerKey
CUS0037,Quarrystone FMCG GmbH,SME Direct,FMCG,SME,,,AU,Australia,Oceania,ANZ,Sofia Larsson,sofia.larsson@meridiangl.com,B,15,Named Account Tariff,2020-08-29,2025-06-06,9999-12-31,1,2,48
CUS0038,Wellspring Garments Pte Ltd,BCO,Textiles,SME,,,MY,Malaysia,SE Asia,APAC,Diego Patel,diego.patel@meridiangl.com,B,30,Long-Term Contract,2020-05-28,2020-05-28,2024-05-21,0,1,49
CUS0038,Wellspring Garments Pte Ltd,BCO,Textiles,Mid-Market,,,MY,Malaysia,SE Asia,APAC,Diego Patel,diego.patel@meridiangl.com,B,30,Long-Term Contract,2020-05-28,2024-05-22,9999-12-31,1,2,50
CUS0039,Glenmoor Agro LLC,NVOCC,Agriculture,SME,,,CN,China,East Asia,APAC,Ingrid Nguyen,ingrid.nguyen@meridiangl.com,C,0,Named Account Tariff,2017-04-17,2017-04-17,9999-12-31,1,1,51
CUS0040,Glenmoor Life Sciences LLC,3PL,Pharma,Mid-Market,,,CN,China,East Asia,APAC,Raj Kim,raj.kim@meridiangl.com,C,30,Spot,2015-08-25,2015-08-25,9999-12-31,1,1,52
CUS0041,Marlowe Agri-Foods Inc,BCO,Agriculture,Mid-Market,,,IN,India,South Asia,APAC,Elena Haddad,elena.haddad@meridiangl.com,A,45,Long-Term Contract,2015-06-03,2015-06-03,9999-12-31,1,1,53
CUS0042,Wellspring Alloys Group,NVOCC,Metals,Mid-Market,,,ES,Spain,Mediterranean,EMEA,Elena Haddad,elena.haddad@meridiangl.com,D,0,Spot,2026-06-20,2026-06-20,9999-12-31,1,1,54
CUS0043,Eastridge Technologies Ltd,NVOCC,Electronics,SME,CUS0560,Foxrun Chemical Industries GmbH,IT,Italy,Mediterranean,EMEA,Hassan Nguyen,hassan.nguyen@meridiangl.com,D,0,Spot,2024-08-04,2024-08-04,9999-12-31,1,1,55
CUS0044,Sterling Steel GmbH,Freight Forwarder,Metals,Mid-Market,,,AE,United Arab Emirates,Middle East,EMEA,Ingrid Tanaka,ingrid.tanaka@meridiangl.com,B,15,Named Account Tariff,2016-07-29,2016-07-29,9999-12-31,1,1,56
CUS0045,Monsoon Petrochemicals Pte Ltd,NVOCC,Energy,National,,,BE,Belgium,N Europe,EMEA,Fatima Haddad,fatima.haddad@meridiangl.com,B,45,Long-Term Contract,2026-03-23,2026-03-23,9999-12-31,1,1,57
CUS0046,Deerfield Chemicals Inc,BCO,Chemicals,Global Key Account,,,ID,Indonesia,SE Asia,APAC,Elena O'Brien,elena.obrien@meridiangl.com,C,30,Long-Term Contract,2020-10-28,2020-10-28,9999-12-31,1,1,58
CUS0047,Voyager Chemicals Group,SME Direct,Chemicals,SME,,,SG,Singapore,SE Asia,APAC,Ahmed Novak,ahmed.novak@meridiangl.com,D,0,Spot,2026-04-19,2026-04-19,9999-12-31,1,1,59
CUS0048,Vertex Retail Holdings,Freight Forwarder,Retail,National,CUS2150,Cobalt Foods GmbH,CA,Canada,N America East,Americas,Wei Tanaka,wei.tanaka@meridiangl.com,C,30,Long-Term Contract,2018-02-08,2018-02-08,9999-12-31,1,1,60
CUS0049,Eastridge Farms Corp,BCO,Agriculture,SME,,,VN,Vietnam,SE Asia,APAC,Ahmed Tanaka,ahmed.tanaka@meridiangl.com,C,15,Spot,2017-12-27,2017-12-27,9999-12-31,1,1,61
CUS0050,Vantage Semiconductor PLC,SME Direct,Electronics,Mid-Market,,,CA,Canada,N America East,Americas,Ahmed Rossi,ahmed.rossi@meridiangl.com,B,0,Named Account Tariff,2019-11-30,2019-11-30,9999-12-31,1,1,62
CUS0051,Monsoon Consumer Goods GmbH,SME Direct,FMCG,National,,,MX,Mexico,LatAm West,Americas,Carlos Haddad,carlos.haddad@meridiangl.com,B,0,Named Account Tariff,2016-08-21,2016-08-21,9999-12-31,1,1,63
CUS0052,Monsoon Technologies Ltd,BCO,Electronics,SME,,,ZA,South Africa,Africa,EMEA,Ingrid Ferreira,ingrid.ferreira@meridiangl.com,C,15,Spot,2019-12-22,2019-12-22,9999-12-31,1,1,64
CUS0053,Cedarline Mercantile PLC,3PL,Retail,National,,,ZA,South Africa,Africa,EMEA,Carlos Sharma,carlos.sharma@meridiangl.com,D,0,Long-Term Contract,2016-07-06,2016-07-06,2017-05-21,0,1,65
CUS0053,Cedarline Mercantile PLC,3PL,Retail,SME,,,ZA,South Africa,Africa,EMEA,Liam O'Brien,liam.obrien@meridiangl.com,A,0,Long-Term Contract,2016-07-06,2017-05-22,9999-12-31,1,2,66
CUS0054,Elmfield Chemicals Group,Freight Forwarder,Chemicals,Mid-Market,,,SA,Saudi Arabia,Middle East,EMEA,Elena Haddad,elena.haddad@meridiangl.com,B,30,Named Account Tariff,2020-04-30,2020-04-30,9999-12-31,1,1,67
CUS0055,Nightingale Retail Co.,Freight Forwarder,Retail,Mid-Market,,,JP,Japan,East Asia,APAC,Anna Berg,anna.berg@meridiangl.com,B,30,Spot,2023-09-20,2023-09-20,9999-12-31,1,1,68
CUS0056,Harborview Apparel Group,BCO,Textiles,Global Key Account,,,ZA,South Africa,Africa,EMEA,Sofia Larsson,sofia.larsson@meridiangl.com,B,45,Long-Term Contract,2020-11-28,2020-11-28,9999-12-31,1,1,69
CUS0057,Eastridge Garments Inc,BCO,Textiles,SME,,,BR,Brazil,LatAm East,Americas,Elena Haddad,elena.haddad@meridiangl.com,C,45,Spot,2021-07-18,2021-07-18,9999-12-31,1,1,70
CUS0058,Hillcrest Apparel LLC,SME Direct,Textiles,Mid-Market,CUS1029,Hillcrest Retail Inc,DE,Germany,N Europe,EMEA,Diego Yamamoto,diego.yamamoto@meridiangl.com,C,30,Spot,2026-03-30,2026-03-30,2026-04-06,0,1,71
CUS0058,Hillcrest Apparel LLC,SME Direct,Textiles,Mid-Market,CUS1029,Hillcrest Retail Inc,DE,Germany,N Europe,EMEA,Ahmed Rossi,ahmed.rossi@meridiangl.com,A,30,Spot,2026-03-30,2026-04-07,9999-12-31,1,2,72
CUS0059,Glenmoor Alloys Ltd,Freight Forwarder,Metals,SME,CUS2092,Nova Steel B.V.,IT,Italy,Mediterranean,EMEA,Hassan Nguyen,hassan.nguyen@meridiangl.com,B,0,Named Account Tariff,2024-11-05,2024-11-05,2025-10-29,0,1,73
CUS0059,Glenmoor Alloys Ltd,Freight Forwarder,Metals,National,CUS2092,Nova Steel B.V.,IT,Italy,Mediterranean,EMEA,Ingrid O'Brien,ingrid.obrien@meridiangl.com,A,0,Long-Term Contract,2024-11-05,2025-10-30,9999-12-31,1,2,74
CUS0060,Quarrystone Chemical Industries Co.,BCO,Chemicals,Mid-Market,,,IT,Italy,Mediterranean,EMEA,Elena Haddad,elena.haddad@meridiangl.com,B,45,Spot,2021-07-13,2021-07-13,9999-12-31,1,1,75
CUS0061,Fairhaven Petrochemicals LLC,BCO,Energy,SME,,,TR,Turkey,Mediterranean,EMEA,James Tanaka,james.tanaka@meridiangl.com,C,0,Named Account Tariff,2024-10-22,2024-10-22,9999-12-31,1,1,76
CUS0062,Nightingale Garments LLC,3PL,Textiles,Mid-Market,CUS1792,Fairhaven Metals GmbH,SA,Saudi Arabia,Middle East,EMEA,Sofia Larsson,sofia.larsson@meridiangl.com,C,45,Spot,2019-03-18,2019-03-18,2026-04-21,0,1,77
CUS0062,Nightingale Garments LLC,3PL,Textiles,National,CUS1792,Fairhaven Metals GmbH,SA,Saudi Arabia,Middle East,EMEA,Ahmed Torres,ahmed.torres@meridiangl.com,C,45,Named Account Tariff,2019-03-18,2026-04-22,9999-12-31,1,2,78
CUS0063,Dockside Farms LLC,3PL,Agriculture,SME,,,AU,Australia,Oceania,ANZ,Ingrid Ferreira,ingrid.ferreira@meridiangl.com,C,15,Spot,2026-07-18,2026-07-18,2026-07-30,0,1,79
CUS0063,Dockside Farms LLC,3PL,Agriculture,SME,,,AU,Australia,Oceania,ANZ,Carlos Al-Farsi,carlos.al-farsi@meridiangl.com,A,15,Long-Term Contract,2026-07-18,2026-07-31,9999-12-31,1,2,80
CUS0064,Oakford Petrochemicals LLC,NVOCC,Energy,Mid-Market,,,TH,Thailand,SE Asia,APAC,Sofia Ferreira,sofia.ferreira@meridiangl.com,D,30,Spot,2025-04-19,2025-04-19,9999-12-31,1,1,81
CUS0065,Millbrook Automotive B.V.,BCO,Automotive,Mid-Market,,,CA,Canada,N America East,Americas,Elena O'Brien,elena.obrien@meridiangl.com,C,30,Long-Term Contract,2020-10-09,2020-10-09,9999-12-31,1,1,82
CUS0066,Dockside Garments Pte Ltd,Freight Forwarder,Textiles,National,,,JP,Japan,East Asia,APAC,Elena O'Brien,elena.obrien@meridiangl.com,B,60,Long-Term Contract,2017-07-28,2017-07-28,9999-12-31,1,1,83
CUS0067,Solstice Automotive Group,Freight Forwarder,Automotive,National,,,ZA,South Africa,Africa,EMEA,Ingrid Osei,ingrid.osei@meridiangl.com,D,15,Long-Term Contract,2017-05-26,2017-05-26,2020-12-01,0,1,84
CUS0067,Solstice Automotive Group,Freight Forwarder,Automotive,National,,,ZA,South Africa,Africa,EMEA,Ingrid Osei,ingrid.osei@meridiangl.com,C,15,Long-Term Contract,2017-05-26,2020-12-02,9999-12-31,1,2,85
CUS0068,Lakemoor Chemical Industries B.V.,3PL,Chemicals,Mid-Market,,,IN,India,South Asia,APAC,James Larsson,james.larsson@meridiangl.com,C,15,Long-Term Contract,2021-07-23,2021-07-23,9999-12-31,1,1,86
CUS0069,Ashgrove Semiconductor B.V.,SME Direct,Electronics,SME,,,SG,Singapore,SE Asia,APAC,Diego Yamamoto,diego.yamamoto@meridiangl.com,D,30,Spot,2019-01-25,2019-01-25,9999-12-31,1,1,87
CUS0070,Dockside Semiconductor Group,BCO,Electronics,SME,,,ID,Indonesia,SE Asia,APAC,Diego Kowalski,diego.kowalski@meridiangl.com,C,15,Named Account Tariff,2018-02-11,2018-02-11,2021-06-18,0,1,88
CUS0070,Dockside Semiconductor Group,BCO,Electronics,Mid-Market,,,ID,Indonesia,SE Asia,APAC,Diego Kowalski,diego.kowalski@meridiangl.com,D,15,Named Account Tariff,2018-02-11,2021-06-19,9999-12-31,1,2,89
CUS0071,Everest Consumer Goods PLC,SME Direct,FMCG,Mid-Market,,,BR,Brazil,LatAm East,Americas,Yuki Kowalski,yuki.kowalski@meridiangl.com,C,60,Spot,2023-11-05,2023-11-05,2025-09-02,0,1,90
CUS0071,Everest Consumer Goods PLC,SME Direct,FMCG,National,,,BR,Brazil,LatAm East,Americas,Sofia Larsson,sofia.larsson@meridiangl.com,C,60,Spot,2023-11-05,2025-09-03,9999-12-31,1,2,91
CUS0072,Thornwell Technologies Holdings,Freight Forwarder,Electronics,Mid-Market,,,KR,South Korea,East Asia,APAC,Elena O'Brien,elena.obrien@meridiangl.com,C,15,Long-Term Contract,2017-10-29,2017-10-29,9999-12-31,1,1,92
CUS0073,Ironwood Energy LLC,3PL,Energy,SME,,,CA,Canada,N America East,Americas,Yuki O'Brien,yuki.obrien@meridiangl.com,D,30,Spot,2016-09-07,2016-09-07,2025-11-21,0,1,93
CUS0073,Ironwood Energy LLC,3PL,Energy,SME,,,CA,Canada,N America East,Americas,Ahmed Nguyen,ahmed.nguyen@meridiangl.com,C,30,Named Account Tariff,2016-09-07,2025-11-22,9999-12-31,1,2,94
CUS0074,Harborview Energy Corp,BCO,Energy,Mid-Market,,,DE,Germany,N Europe,EMEA,Yuki Kowalski,yuki.kowalski@meridiangl.com,A,45,Spot,2016-11-22,2016-11-22,2019-05-08,0,1,95
CUS0074,Harborview Energy Corp,BCO,Energy,National,,,DE,Germany,N Europe,EMEA,Elena O'Brien,elena.obrien@meridiangl.com,B,45,Named Account Tariff,2016-11-22,2019-05-09,9999-12-31,1,2,96
CUS0075,Lonestar Consumer Goods Inc,Freight Forwarder,FMCG,National,,,VN,Vietnam,SE Asia,APAC,Elena O'Brien,elena.obrien@meridiangl.com,B,30,Long-Term Contract,2015-01-25,2015-01-25,9999-12-31,1,1,97
CUS0076,Lakemoor Farms Inc,Freight Forwarder,Agriculture,National,,,TH,Thailand,SE Asia,APAC,Carlos Ferreira,carlos.ferreira@meridiangl.com,D,30,Named Account Tariff,2024-06-14,2024-06-14,9999-12-31,1,1,98
CUS0077,Southwick Engineering Pte Ltd,NVOCC,Machinery,Mid-Market,,,HK,Hong Kong,East Asia,APAC,Elena Haddad,elena.haddad@meridiangl.com,C,60,Named Account Tariff,2016-11-03,2016-11-03,2017-11-22,0,1,99
CUS0077,Southwick Engineering Pte Ltd,NVOCC,Machinery,Mid-Market,,,HK,Hong Kong,East Asia,APAC,Grace Larsson,grace.larsson@meridiangl.com,B,60,Named Account Tariff,2016-11-03,2017-11-23,2020-02-21,0,2,100
CUS0077,Southwick Engineering Pte Ltd,NVOCC,Machinery,SME,,,HK,Hong Kong,East Asia,APAC,Grace Larsson,grace.larsson@meridiangl.com,D,60,Spot,2016-11-03,2020-02-22,9999-12-31,1,3,101
CUS0078,Skyline Energy S.A.,Freight Forwarder,Energy,Mid-Market,,,US,United States,N America East,Americas,Liam O'Brien,liam.obrien@meridiangl.com,B,15,Named Account Tariff,2019-03-03,2019-03-03,9999-12-31,1,1,102
CUS0079,Ashford Technologies Inc,NVOCC,Electronics,SME,,,TW,Taiwan,East Asia,APAC,James Larsson,james.larsson@meridiangl.com,C,60,Spot,2016-01-03,2016-01-03,9999-12-31,1,1,103
CUS0080,Sentinel Industrial Pte Ltd,Freight Forwarder,Machinery,National,,,HK,Hong Kong,East Asia,APAC,Ingrid Osei,ingrid.osei@meridiangl.com,C,60,Named Account Tariff,2022-08-14,2022-08-14,2025-02-13,0,1,104
CUS0080,Sentinel Industrial Pte Ltd,Freight Forwarder,Machinery,SME,,,HK,Hong Kong,East Asia,APAC,Maria Sharma,maria.sharma@meridiangl.com,A,60,Long-Term Contract,2022-08-14,2025-02-14,9999-12-31,1,2,105
CUS0081,Monsoon Pharma Ltd,SME Direct,Pharma,SME,CUS2628,Junction Steel Inc,BE,Belgium,N Europe,EMEA,Liam O'Brien,liam.obrien@meridiangl.com,C,15,Spot,2015-11-28,2015-11-28,2024-07-21,0,1,106
CUS0081,Monsoon Pharma Ltd,SME Direct,Pharma,SME,CUS2628,Junction Steel Inc,BE,Belgium,N Europe,EMEA,Liam O'Brien,liam.obrien@meridiangl.com,C,15,Long-Term Contract,2015-11-28,2024-07-22,9999-12-31,1,2,107
CUS0082,Sterling Consumer Goods GmbH,SME Direct,FMCG,National,,,JP,Japan,East Asia,APAC,Diego Patel,diego.patel@meridiangl.com,C,30,Long-Term Contract,2025-02-16,2025-02-16,9999-12-31,1,1,108
CUS0083,Kingswell Metals Pte Ltd,Freight Forwarder,Metals,SME,,,TW,Taiwan,East Asia,APAC,Fatima Haddad,fatima.haddad@meridiangl.com,D,0,Spot,2022-12-04,2022-12-04,9999-12-31,1,1,109
CUS0084,Elmfield Electronics PLC,BCO,Electronics,Mid-Market,,,HK,Hong Kong,East Asia,APAC,Ingrid Osei,ingrid.osei@meridiangl.com,C,60,Spot,2025-02-27,2025-02-27,9999-12-31,1,1,110
CUS0085,Ridgemont Agri-Foods LLC,SME Direct,Agriculture,SME,,,BE,Belgium,N Europe,EMEA,Elena Haddad,elena.haddad@meridiangl.com,C,15,Spot,2019-01-20,2019-01-20,9999-12-31,1,1,111
CUS0086,Lonestar Semiconductor GmbH,BCO,Electronics,SME,,,TW,Taiwan,East Asia,APAC,Ahmed Nguyen,ahmed.nguyen@meridiangl.com,C,30,Spot,2018-02-03,2018-02-03,9999-12-31,1,1,112
